"","SPY","XLP","XLK","XLY","XLI","XLB","XLF","XLU","XLE","XLV"
"605",-3.51052551052551,-3.51066051066051,-3.51021651021651,-3.51065451065451,-3.51085551085551,-3.51098751098751,-3.51046851046851,-3.51155751155751,-3.50924750924751,-3.51085851085851
"606",-3.51022851022851,-3.51057351057351,-3.50984450984451,-3.51032451032451,-3.51055251055251,-3.51064851064851,-3.51006351006351,-3.51160851160851,-3.50889350889351,-3.51061251061251
"607",-3.50991650991651,-3.51036951036951,-3.50946650946651,-3.51011751011751,-3.51012651012651,-3.51019851019851,-3.50967650967651,-3.51140751140751,-3.50868050868051,-3.51035151035151
"608",-3.51001851001851,-3.51064551064551,-3.50961950961951,-3.50998250998251,-3.51015351015351,-3.51001851001851,-3.50971250971251,-3.51170151170151,-3.50875250875251,-3.51057951057951
"609",-3.51009351009351,-3.51075651075651,-3.50966750966751,-3.50990150990151,-3.51026451026451,-3.51005751005751,-3.50986250986251,-3.51179451179451,-3.50897750897751,-3.51055851055851
"610",-3.51053151053151,-3.51120351120351,-3.51018951018951,-3.51034251034251,-3.51087651087651,-3.51060351060351,-3.51022551022551,-3.51195651195651,-3.50938250938251,-3.51093651093651
"611",-3.51052551052551,-3.51142551142551,-3.51018951018951,-3.51030351030351,-3.51062451062451,-3.51053151053151,-3.51027351027351,-3.51219951219951,-3.50926850926851,-3.51099051099051
"612",-3.51034851034851,-3.51115251115251,-3.51007551007551,-3.51002751002751,-3.51060651060651,-3.51031551031551,-3.50984750984751,-3.51186351186351,-3.50942750942751,-3.51077751077751
"613",-3.51016851016851,-3.51122751122751,-3.50997950997951,-3.51000051000051,-3.51046251046251,-3.51003651003651,-3.50939450939451,-3.51188151188151,-3.50890550890551,-3.51073251073251
"614",-3.51005151005151,-3.51114951114951,-3.50967350967351,-3.50997650997651,-3.51029451029451,-3.51011151011151,-3.50941550941551,-3.51196251196251,-3.50881850881851,-3.51048951048951
"615",-3.51004251004251,-3.51101451101451,-3.50961950961951,-3.50996450996451,-3.51027651027651,-3.51003951003951,-3.50948450948451,-3.51195651195651,-3.50886950886951,-3.51052851052851
"616",-3.50985950985951,-3.51098151098151,-3.50938250938251,-3.50963750963751,-3.50991350991351,-3.50963750963751,-3.50934950934951,-3.51196851196851,-3.50875550875551,-3.51041451041451
"617",-3.50985950985951,-3.51084051084051,-3.50932850932851,-3.50954750954751,-3.50994050994051,-3.50960450960451,-3.50962550962551,-3.51198951198951,-3.50897450897451,-3.51031551031551
"618",-3.50987750987751,-3.51108651108651,-3.50919050919051,-3.50958650958651,-3.51005151005151,-3.50969450969451,-3.50957150957151,-3.51221151221151,-3.50897450897451,-3.51038751038751
"619",-3.51024951024951,-3.51124551124551,-3.50958350958351,-3.50997050997051,-3.51044451044451,-3.51011751011751,-3.51013551013551,-3.51220251220251,-3.50942750942751,-3.51055851055851
"620",-3.51041151041151,-3.51128151128151,-3.50983550983551,-3.51007551007551,-3.51056751056751,-3.51035451035451,-3.51039051039051,-3.51223551223551,-3.50970950970951,-3.51060651060651
"621",-3.51065751065751,-3.51136551136551,-3.51005451005451,-3.51041151041151,-3.51072951072951,-3.51070851070851,-3.51062451062451,-3.51223251223251,-3.51014751014751,-3.51097251097251
"622",-3.51061851061851,-3.51130551130551,-3.51014151014151,-3.51031251031251,-3.51092151092151,-3.51057951057951,-3.51034851034851,-3.51237951237951,-3.51004851004851,-3.51088551088551
"623",-3.51076251076251,-3.51134451134451,-3.51045651045651,-3.51052851052851,-3.51110151110151,-3.51091251091251,-3.51029151029151,-3.51232251232251,-3.51020451020451,-3.51097251097251
"624",-3.51053151053151,-3.51109251109251,-3.51027951027951,-3.51030351030351,-3.51076251076251,-3.51072351072351,-3.50990750990751,-3.51245751245751,-3.51015051015051,-3.51059751059751
"625",-3.51030951030951,-3.51090351090351,-3.51006051006051,-3.51005451005451,-3.51069351069351,-3.51052251052251,-3.50970650970651,-3.51222051222051,-3.50992550992551,-3.51027951027951
