,SPY
436,1.590927222347318
437,1.585903733490568
438,1.5959591632270076
439,1.5890152563940774
440,1.6073650388409533
441,1.5188809842686624
442,1.5198527560312414
443,1.5196941032183986
444,1.5727287976721982
445,1.5731243591233124
446,1.5465278181193298
447,1.5186225382637986
448,1.5399616606225663
449,1.572343620088077
450,2.077250801763739
451,2.091681013454263
452,2.0989631141708287
453,2.078689087333032
454,2.045321308015673
455,2.0735767982307607
456,2.126724242899627
457,2.0700650334117654
458,2.15955466934588
459,2.1552314924849725
460,2.273409895245777
461,2.260204079622099
462,2.284689601641503
463,2.237218640972287
464,1.6820279204750932
465,1.679322382032069
